BINID,BINLAT,BINLOT,BINLOAD,OTID,BINOT-ID,OTLAT,OTLON,COMMENTS
173,38.2617862314945,21.7429071382133,962,173,1,38.2617862314945,21.7429071382133,
174,38.2613709727099,21.7433992734264,880,174,1,38.2613709727099,21.7433992734264,
177,38.2610419068399,21.7417597244512,904,177,1,38.2610419068399,21.7417597244512,
178,38.2607420135855,21.7414568270591,941,178,1,38.2607420135855,21.7414568270591,
179,38.2613897360090,21.7420995131047,820,179,1,38.2613897360090,21.7420995131047,
184,38.2576474458744,21.7465097662060,1038,184,1,38.2576474458744,21.7465097662060,
185,38.2577833624239,21.7465787205816,941,185,1,38.2577833624239,21.7465787205816,
186,38.2583972789344,21.7467236947606,896,186,1,38.2583972789344,21.7467236947606,
189,38.2591623264087,21.7474930780822,968,189,1,38.2591623264087,21.7474930780822,
190,38.2596465963785,21.7479650740344,753,190,1,38.2596465963785,21.7479650740344,
191,38.2594860558499,21.7466281623947,860,191,1,38.2594860558499,21.7466281623947,
191,38.2594860558499,21.7466281623947,723,191,2,38.2594860558499,21.7466281623947,
193,38.2603087368042,21.7432130732248,1004,193,1,38.2603087368042,21.7432130732248,
197,38.2588808256115,21.7445111185158,740,197,1,38.2588808256115,21.7445111185158,
197,38.2588808256115,21.7445111185158,867,197,2,38.2588808256115,21.7445111185158,
201,38.2602402087967,21.7416308080502,958,201,1,38.2602402087967,21.7416308080502,
201,38.2602402087967,21.7416308080502,943,201,2,38.2602402087967,21.7416308080502,
205,38.2597915282180,21.7427590704426,1000,205,1,38.2597915282180,21.7427590704426,
207,38.2598668903444,21.7429003555189,1059,207,1,38.2598668903444,21.7429003555189,
209,38.2597043544723,21.7435273245189,935,209,1,38.2597043544723,21.7435273245189,
210,38.2596107929466,21.7442789727931,861,210,1,38.2596107929466,21.7442789727931,
211,38.2592261289297,21.7465049885041,844,211,1,38.2592261289297,21.7465049885041,
212,38.2581907050914,21.7458135037069,1055,212,1,38.2581907050914,21.7458135037069,
213,38.2578364548141,21.7457817111918,778,213,1,38.2578364548141,21.7457817111918,
214,38.2574847410798,21.7456071060652,950,214,1,38.2574847410798,21.7456071060652,
214,38.2574847410798,21.7456071060652,1044,214,2,38.2574847410798,21.7456071060652,
217,38.2579061449935,21.7482345499866,726,217,1,38.2579061449935,21.7482345499866,
